date,open,high,low,close,volume
2/7/2005,5.112,5.1404,4.8692,4.8822,12903601
2/8/2005,4.9054,4.9816,4.8448,4.9472,11434805
2/9/2005,5,5.0208,4.7185,4.7713,17223894
2/10/2005,4.7811,4.787,4.6137,4.6817,18893995
2/11/2005,4.6488,4.7897,4.6341,4.6672,13058100
2/14/2005,4.5549,4.8086,4.5078,4.8064,38383322
2/15/2005,4.8218,4.977,4.8087,4.8622,25728642
2/16/2005,4.849,4.9643,4.839,4.9414,16541074
2/17/2005,4.9399,4.9748,4.9016,4.9287,10368814
2/18/2005,4.938,4.9522,4.8979,4.93,8460166
2/22/2005,4.8981,4.9536,4.7417,4.7661,13430654
2/23/2005,4.8141,4.8435,4.6986,4.8303,15564579
2/24/2005,4.5526,4.7282,4.5384,4.7043,25707858
2/25/2005,4.7165,4.73,4.6201,4.6291,9931994
2/28/2005,4.6324,4.7288,4.6287,4.682,7785337
3/1/2005,4.7142,4.7257,4.6172,4.6338,9385322
3/2/2005,4.6311,4.6739,4.5915,4.6119,7289609
3/3/2005,4.6356,4.676,4.5903,4.6574,7574338
3/4/2005,4.6498,4.6635,4.6092,4.6299,6741819
3/7/2005,4.6702,4.722,4.658,4.7023,8646109
3/8/2005,4.7095,4.7282,4.6067,4.6124,8005431
3/9/2005,4.5877,4.5987,4.4869,4.5165,11309912
3/10/2005,4.5081,4.5128,4.4181,4.4824,10908824
3/11/2005,4.4938,4.5066,4.4119,4.4281,7989712
3/14/2005,4.4413,4.443,4.2978,4.3581,11083424
3/15/2005,4.3659,4.4829,4.3387,4.4483,10375524
3/16/2005,4.4007,4.4483,4.3586,4.3733,7078723
3/17/2005,4.4114,4.4739,4.3783,4.4652,8221325
3/18/2005,4.4533,4.4929,4.4408,4.4839,7117925
3/21/2005,4.4667,4.5369,4.4144,4.5048,7447940
3/22/2005,4.5124,4.5313,4.4294,4.4481,5604937
3/23/2005,4.4323,4.4889,4.4323,4.4575,4829569
3/24/2005,4.5003,4.5043,4.463,4.4642,3709168
3/28/2005,4.5248,4.6025,4.5066,4.5183,8696415
3/29/2005,4.5091,4.5646,4.4348,4.4722,6443827
3/30/2005,4.4988,4.5191,4.4729,4.4941,6210676
3/31/2005,4.4318,4.5175,4.4241,4.4956,6736356
4/1/2005,4.5193,4.5564,4.4827,4.4839,6166308
4/4/2005,4.4818,4.6154,4.479,4.6147,8038228
4/5/2005,4.6795,4.7385,4.6715,4.6964,8700652
4/6/2005,4.6993,4.7232,4.6717,4.7125,5253171
4/7/2005,4.7016,4.847,4.6981,4.8256,9646627
4/8/2005,4.8238,4.859,4.7681,4.783,5092087
4/11/2005,4.8089,4.8515,4.7897,4.8124,5385193
4/12/2005,4.8067,4.8421,4.7174,4.8305,7285956
4/13/2005,4.8183,4.8395,4.7252,4.8049,6524481
4/14/2005,4.8067,4.8406,4.7345,4.7681,6125337
4/15/2005,4.7344,4.7404,4.5989,4.6074,11524530
4/18/2005,4.6064,4.6792,4.5698,4.6565,6520462
4/19/2005,4.7153,4.7817,4.6829,4.7668,8460107
4/20/2005,4.9457,4.9935,4.8792,4.9337,15385991
4/21/2005,4.9915,5.1055,4.9641,5.0861,17919273
4/22/2005,5.5414,5.5788,5.3362,5.3748,33049546
4/25/2005,5.4218,5.5971,5.4173,5.567,19741922
4/26/2005,5.4846,5.5289,5.4365,5.448,17193588
4/27/2005,5.429,5.5002,5.3979,5.4736,10246061
4/28/2005,5.4681,5.5309,5.4221,5.4654,8642968
4/29/2005,5.5331,5.5351,5.4248,5.4791,9130654
5/2/2005,5.5302,5.5713,5.4844,5.5362,9723143
5/3/2005,5.5252,5.6821,5.512,5.6333,17703647
5/4/2005,5.6592,5.7252,5.6534,5.6908,12102353
5/5/2005,5.6938,5.6938,5.6256,5.653,7476497
5/6/2005,5.6884,5.7095,5.6403,5.6789,6735923
5/9/2005,5.6784,5.6909,5.6145,5.6291,5509032
5/10/2005,5.6099,5.6734,5.5967,5.6734,6315043
5/11/2005,5.7025,5.7775,5.6766,5.7603,11424018
5/12/2005,5.7459,5.7837,5.6833,5.6963,8906893
5/13/2005,5.7078,5.7554,5.6615,5.7093,7380882
5/16/2005,5.7202,5.7685,5.6925,5.7543,5654243
5/17/2005,5.7416,5.8141,5.7331,5.8061,7769002
5/18/2005,5.8181,5.9765,5.8158,5.9563,12253195
5/19/2005,5.9857,6.0064,5.9341,5.9568,9670182
5/20/2005,6.0016,6.0188,5.9685,6.0173,8132314
5/23/2005,6.0574,6.428,6.0447,6.362,21287516
5/24/2005,6.3969,6.6108,6.3134,6.3757,28907788
5/25/2005,6.2943,6.4997,6.242,6.4955,17971939
5/26/2005,6.4993,6.569,6.433,6.4555,13482437
5/27/2005,6.4868,6.626,6.4567,6.6248,12125564
5/31/2005,6.7102,6.9336,6.7087,6.9055,22171446
6/1/2005,7.0494,7.2945,7.0237,7.1535,35037330
6/2/2005,7.1939,7.217,7.088,7.1702,17890879
6/3/2005,7.1426,7.205,6.9089,6.9799,18720834
6/6/2005,7.0322,7.3159,7.019,7.2459,22424671
6/7/2005,7.4093,7.4613,7.23,7.3002,24210708
6/8/2005,7.2935,7.302,6.9236,6.9625,25655805
6/9/2005,7.091,7.1851,6.9874,7.1306,16365794
6/10/2005,7.1478,7.1547,6.9739,7.0357,12638209
6/13/2005,6.9689,7.0778,6.8867,7.0419,12746385
6/14/2005,6.9383,7.0043,6.9174,6.9323,10065734
6/15/2005,6.8489,6.9062,6.6603,6.8439,20785873
6/16/2005,6.8305,6.9311,6.8009,6.9097,12410203
6/17/2005,6.9485,6.9809,6.8713,6.9809,10395568
6/20/2005,6.8761,7.1645,6.7675,7.1403,20942422
6/21/2005,7.1744,7.23,7.0972,7.1687,15063666
6/22/2005,7.2148,7.2803,7.1894,7.2051,10455511
6/23/2005,7.1705,7.3423,7.1354,7.2153,13993327
6/24/2005,7.2461,7.4217,7.212,7.403,18101605
6/27/2005,7.4466,7.5828,7.3186,7.5736,17742595
6/28/2005,7.6349,7.7019,7.5213,7.5213,18972658
6/29/2005,7.538,7.5806,7.2761,7.2902,18217672
6/30/2005,7.3305,7.4449,7.2483,7.3258,15031874
7/1/2005,7.349,7.3779,7.203,7.2536,9183589
7/5/2005,7.2748,7.3714,7.2282,7.3647,7453257
7/6/2005,7.4044,7.4118,7.2569,7.2605,7964968
7/7/2005,7.2073,7.367,7.1854,7.3605,10621335
7/8/2005,7.3721,7.4092,7.3233,7.3776,7421992
7/11/2005,7.3819,7.3868,7.2479,7.3059,8354908
7/12/2005,7.3069,7.3321,7.2456,7.2669,5840766
7/13/2005,7.285,7.4526,7.2747,7.4431,11387087
7/14/2005,7.6045,7.6396,7.4733,7.4937,10620945
7/15/2005,7.5024,7.5562,7.4661,7.5012,8403436
7/18/2005,7.4716,7.5189,7.4155,7.4601,6179743
7/19/2005,7.5238,7.7293,7.5164,7.7181,12575905
7/20/2005,7.6103,7.7855,7.5164,7.7704,14266233
7/21/2005,7.8214,7.9148,7.7507,7.8187,20321700
7/22/2005,7.6349,7.7019,7.3801,7.5313,23279719
7/25/2005,7.5311,7.5535,7.346,7.3682,9612797
7/26/2005,7.3473,7.4217,7.2745,7.3742,9785156
7/27/2005,7.4275,7.4275,7.2823,7.3951,7332738
7/28/2005,7.4071,7.4071,7.3042,7.3097,5898810
7/29/2005,7.2933,7.2933,7.1475,7.1667,8326227
8/1/2005,7.1757,7.2848,7.1752,7.2626,5636252
8/2/2005,7.2586,7.4596,7.2504,7.4514,7257572
8/3/2005,7.4217,7.4646,7.362,7.4043,5906527
8/4/2005,7.3607,7.4466,7.3532,7.415,5246390
8/5/2005,7.4093,7.4344,7.2551,7.281,5913281
8/8/2005,7.3121,7.3632,7.2347,7.2536,4461130
8/9/2005,7.2713,7.2892,7.1854,7.2616,5753213
8/10/2005,7.2549,7.2805,7.095,7.1149,6955772
8/11/2005,7.1201,7.1373,6.9889,7.0743,7479259
8/12/2005,7.0571,7.2274,7.0142,7.2155,6556028
8/15/2005,7.2176,7.2915,7.0674,7.0731,8132750
8/16/2005,7.095,7.1675,7.0567,7.1142,7075286
8/17/2005,7.1107,7.1371,7.0731,7.1005,3865919
8/18/2005,6.8731,6.9859,6.8489,6.9732,11845487
8/19/2005,6.9981,7.0095,6.9639,6.9734,5582958
8/22/2005,7.0004,7.0101,6.8079,6.8243,6840498
8/23/2005,6.8778,6.967,6.827,6.963,5814725
8/24/2005,6.9129,7.0917,6.885,7.0374,8549498
8/25/2005,7.0369,7.073,6.9726,7.0379,4357116
8/26/2005,7.0602,7.0985,7.0397,7.0626,3736088
8/29/2005,7.0292,7.2006,7.0292,7.1839,5873661
8/30/2005,7.1575,7.2103,7.1199,7.1545,4768291
8/31/2005,7.1784,7.1851,7.082,7.1229,5009116
9/1/2005,7.1206,7.1602,7.098,7.1291,2728147
9/2/2005,7.1356,7.2223,7.1338,7.1839,3416909
9/6/2005,7.1976,7.2073,7.1428,7.1505,4191848
9/7/2005,7.1202,7.3595,7.105,7.3438,7460661
9/8/2005,7.3428,7.4536,7.3061,7.3567,6579165
9/9/2005,7.4038,7.4491,7.3859,7.4489,4369657
9/12/2005,7.5151,7.7559,7.4964,7.7141,10326688
9/13/2005,7.6957,7.8583,7.6252,7.7624,10241615
9/14/2005,7.689,7.8023,7.4791,7.5463,11219686
9/15/2005,7.4596,7.6397,7.4195,7.5368,15385685
9/16/2005,7.5716,7.5836,7.4683,7.4765,7543220
9/19/2005,7.4964,7.6209,7.4892,7.5659,5734509
9/20/2005,7.6247,7.753,7.6019,7.6686,9350437
9/21/2005,7.681,7.8142,7.62,7.7679,10058220
9/22/2005,7.7579,7.9502,7.7248,7.7547,12944386
9/23/2005,7.7953,7.9002,7.7851,7.8541,8441754
9/26/2005,7.9572,7.9933,7.7843,7.8272,9846321
9/27/2005,7.8439,7.93,7.8048,7.8187,6840194
9/28/2005,7.8258,7.8476,7.611,7.621,7956224
9/29/2005,7.6379,7.7385,7.6229,7.7111,5586469
9/30/2005,7.8258,7.9074,7.7776,7.8815,9127685
10/3/2005,7.811,7.9724,7.7901,7.9368,9115989
10/4/2005,7.9684,8.0016,7.739,7.7455,9100818
10/5/2005,7.7876,7.8427,7.6708,7.7383,8286787
10/6/2005,7.8237,7.8322,7.7229,7.7891,7950323
10/7/2005,7.8454,7.8868,7.7341,7.7951,6735181
10/10/2005,7.803,7.8407,7.6994,7.7368,5545263
10/11/2005,7.7358,7.7866,7.5926,7.6235,8497984
10/12/2005,7.601,7.6506,7.4466,7.4957,9259756
10/13/2005,7.5214,7.5214,7.2395,7.4078,10516617
10/14/2005,7.469,7.4773,7.2857,7.3754,8477696
10/17/2005,7.4093,7.6011,7.3361,7.5961,7528998
10/18/2005,7.595,7.6698,7.5398,7.5532,7038107
10/19/2005,7.5712,7.7174,7.5702,7.6883,6975253
10/20/2005,7.7203,7.7487,7.5016,7.5512,13511918
10/21/2005,8.608,8.6279,8.2935,8.4653,22779727
10/24/2005,8.5517,8.6994,8.5223,8.6832,9400368
10/25/2005,8.6014,8.652,8.5389,8.6398,6865603
10/26/2005,8.6242,8.8662,8.622,8.8523,9159871
10/27/2005,8.8934,8.8934,8.7586,8.793,5110893
10/28/2005,8.8562,8.9396,8.8418,8.9203,5955822
10/31/2005,8.9718,9.3332,8.9536,9.2682,14281529
11/1/2005,9.2612,9.5611,9.1903,9.4485,16280400
11/2/2005,9.5063,9.5885,9.3935,9.456,10617183
11/3/2005,9.5197,9.6278,9.4983,9.6121,7412853
11/4/2005,9.7125,9.7576,9.5997,9.7237,8782848
11/7/2005,9.8361,9.8991,9.7666,9.8383,9530177
11/8/2005,9.8188,9.8522,9.6776,9.7105,7856535
11/9/2005,9.6301,9.6704,9.415,9.4428,10408252
11/10/2005,9.4231,9.7466,9.3999,9.7404,9074339
11/11/2005,9.8406,9.8849,9.6844,9.723,7027823
11/14/2005,9.7684,9.9177,9.7511,9.8866,7708701
11/15/2005,9.822,9.8873,9.7366,9.7827,8583860
11/16/2005,9.8674,9.9334,9.8154,9.916,8650703
11/17/2005,10.0069,10.057,9.9504,10.048,9160740
11/18/2005,10.049,10.0741,9.9583,9.9673,6989358
11/21/2005,9.9414,10.2106,9.8,10.1952,10254202
11/22/2005,10.1774,10.3931,10.1172,10.3722,9548814
11/23/2005,10.3865,10.5777,10.3551,10.5314,10029703
11/25/2005,10.6041,10.678,10.5921,10.6748,4816971
11/28/2005,10.7119,10.7401,10.5209,10.5468,10950899
11/29/2005,10.5712,10.6195,10.0153,10.0502,21382120
11/30/2005,10.0682,10.1726,9.8515,10.0844,15497600
12/1/2005,10.1887,10.3466,10.1685,10.313,9698388
12/2/2005,10.384,10.4485,10.3073,10.4029,7505316
12/5/2005,10.3854,10.3978,10.0686,10.1077,10245609
12/6/2005,10.1787,10.3707,10.0044,10.0751,15024000
12/7/2005,10.1168,10.129,9.9374,10.0672,11544024
12/8/2005,10.0941,10.2273,10.0278,10.2273,8855308
12/9/2005,10.3357,10.3551,10.1753,10.1912,7603521
12/12/2005,10.3265,10.3409,10.2099,10.2762,6915799
12/13/2005,10.2733,10.4103,10.2519,10.3976,8117886
12/14/2005,10.3865,10.4535,10.3479,10.4343,6598774
12/15/2005,10.438,10.5384,10.373,10.5232,6004077
12/16/2005,10.5931,10.7714,10.5286,10.7129,16191775
12/19/2005,10.764,11.1129,10.4629,10.5747,21838192
12/20/2005,10.6569,10.764,10.5765,10.7028,10036684
12/21/2005,10.7976,10.8801,10.4778,10.6178,11165245
12/22/2005,10.7531,10.7804,10.6078,10.76,7508729
12/23/2005,10.7628,10.7715,10.6789,10.7324,4566397
12/27/2005,10.7555,10.7555,10.5289,10.5757,6668481
12/28/2005,10.5683,10.6539,10.4916,10.6268,7083001
12/29/2005,10.6602,10.6776,10.4395,10.4639,6912045
12/30/2005,10.3921,10.4155,10.3042,10.3321,7551789
1/3/2006,10.523,10.8505,10.4159,10.8395,13006695
1/4/2006,11.0554,11.1814,10.9521,11.0888,15209431
1/5/2006,11.1077,11.2459,10.9956,11.2382,10751060
1/6/2006,11.3804,11.7178,11.288,11.5973,17671469
1/9/2006,11.616,11.7901,11.4798,11.6282,12727735
1/10/2006,11.5665,11.7117,11.5071,11.6994,9053460
1/11/2006,11.7415,11.8327,11.685,11.7461,8962567
1/12/2006,11.7983,11.8297,11.4937,11.5468,10074441
1/13/2006,11.5637,11.6279,11.4964,11.612,7619024
1/17/2006,11.5325,11.7029,11.5193,11.6334,8188378
1/18/2006,11.14,11.3906,11.0392,11.0805,20413508
1/19/2006,11.2307,11.2942,10.7839,10.8697,14466654
1/20/2006,10.9259,10.959,9.8311,9.9486,40942777
1/23/2006,10.1525,10.6691,10.1047,10.6469,22621990
1/24/2006,10.8761,11.0815,10.8208,11.0337,15386508
1/25/2006,11.2484,11.3126,10.6898,10.7839,18645968
1/26/2006,10.9468,10.958,10.5488,10.8154,12856980
1/27/2006,10.8305,10.9139,10.6838,10.7961,8403376
1/30/2006,10.69,10.7909,10.5847,10.63,8544023
1/31/2006,10.7307,10.9483,10.5592,10.7755,21042631
2/1/2006,9.6978,10.0119,9.6513,10.0064,26992345
2/2/2006,10.0639,10.1239,9.8619,9.8634,11742685
2/3/2006,9.8032,9.8102,9.279,9.5027,18190436
2/6/2006,9.5962,9.7105,9.453,9.591,8897683
2/7/2006,9.5384,9.5561,9.0491,9.1631,16545169
2/8/2006,9.1873,9.2321,8.8331,9.192,20700771
2/9/2006,9.2448,9.3245,8.869,8.9352,11848108
2/10/2006,9.0145,9.078,8.795,9.0309,15061320
2/13/2006,8.6234,8.7318,8.5148,8.6097,19590462
2/14/2006,8.6005,8.7589,8.5276,8.5504,14581697
2/15/2006,8.4994,8.6172,8.4137,8.527,12725313
2/16/2006,8.6089,9.1402,8.5795,9.1267,21210295
2/17/2006,9.2169,9.2682,9.056,9.1838,14236906
2/21/2006,9.1263,9.3031,9.0931,9.13,8638167
2/22/2006,9.144,9.1888,9.062,9.1026,6444724
2/23/2006,9.1056,9.4948,9.1001,9.4159,12487559
2/24/2006,9.3968,9.4657,9.3019,9.3993,6452401
2/27/2006,9.4956,9.7553,9.4709,9.7223,10169940
2/28/2006,9.7927,9.9008,8.4306,9.0311,39240414
3/1/2006,9.179,9.2012,8.9982,9.0854,11994904
3/2/2006,9.0725,9.4913,9.0206,9.3756,18218301
3/3/2006,9.5711,9.6442,9.3583,9.4186,11903453
3/6/2006,9.4866,9.5486,9.1437,9.1677,8890209
3/7/2006,9.0909,9.1763,8.9198,9.0767,9998566
3/8/2006,8.8147,8.9666,8.7303,8.8134,11647595
3/9/2006,8.851,8.9292,8.5051,8.5425,13835823
3/10/2006,8.5554,8.5798,8.2573,8.4055,19231975
3/13/2006,8.4909,8.6196,8.3544,8.3945,13575615
3/14/2006,8.3967,8.7758,8.284,8.7457,18360111
3/15/2006,8.736,8.7741,8.4809,8.5798,12707948
3/16/2006,8.6822,8.6857,8.4154,8.4371,9959840
3/17/2006,8.4378,8.5121,8.3415,8.4625,8505718
3/20/2006,8.526,8.719,8.5061,8.6717,10356982
3/21/2006,8.7171,8.7582,8.4449,8.4658,9770613
3/22/2006,8.4615,8.5698,8.4055,8.4732,7559672
3/23/2006,8.5263,8.6109,8.4728,8.5148,6740374
3/24/2006,9.18,9.2171,9.0284,9.1103,15060899
3/27/2006,9.1424,9.2575,9.0904,9.2072,6987432
3/28/2006,9.2575,9.4106,9.244,9.3942,8895231
3/29/2006,9.4624,9.9372,9.4517,9.837,18681292
3/30/2006,9.6937,9.8002,9.5539,9.6742,14638304
3/31/2006,9.6816,9.7596,9.5643,9.713,35769443
4/3/2006,9.7013,9.7745,9.6615,9.7056,8080339
4/4/2006,9.7105,10.084,9.6666,10.0701,15638430
4/5/2006,10.1663,10.3249,10.0322,10.161,13346594
4/6/2006,10.1237,10.308,10.0973,10.2405,8553622
4/7/2006,10.2712,10.2821,10.0622,10.1155,6985454
4/10/2006,10.1384,10.3897,10.0928,10.37,9274106
4/11/2006,10.371,10.4377,10.1169,10.2026,11043632
4/12/2006,10.1862,10.2443,10.0914,10.185,5985467
4/13/2006,10.1769,10.2051,9.9745,10.0158,6515072
4/17/2006,10.048,10.2734,9.983,10.1319,8216877
4/18/2006,10.1596,10.2069,9.9995,10.0677,8003927
4/19/2006,10.2751,10.3017,10.1296,10.2236,6743749
4/20/2006,10.2362,10.3605,10.1662,10.3356,12011968
4/21/2006,11.18,11.2252,10.8628,10.886,22438890
4/24/2006,10.9433,11.0753,10.8716,10.9707,8791861
4/25/2006,10.9492,10.9842,10.6096,10.6385,9511497
4/26/2006,10.6529,10.7102,10.548,10.6088,7241242
4/27/2006,10.5326,10.6322,10.445,10.4609,8291881
4/28/2006,10.4259,10.6029,10.3682,10.4089,7376126
5/1/2006,10.4221,10.4463,9.926,9.9347,10300241
5/2/2006,9.9889,10.024,9.6732,9.8325,13036603
5/3/2006,9.8712,9.9995,9.735,9.8169,8006052
5/4/2006,9.8383,9.9339,9.768,9.8313,4627995
5/5/2006,9.9023,9.979,9.7573,9.8201,6027087
5/8/2006,9.8402,9.8903,9.7142,9.832,5091679
5/9/2006,9.8548,10.1862,9.8064,10.1812,9094466
5/10/2006,10.169,10.2537,10.0084,10.0363,6153935
5/11/2006,10.0472,10.0794,9.588,9.6383,8838560
5/12/2006,9.5522,9.5853,9.3034,9.3178,10037140
5/15/2006,9.3626,9.4677,9.1713,9.3693,8543872
5/16/2006,9.3641,9.3858,9.2122,9.2473,6460026
5/17/2006,9.2301,9.46,9.2204,9.327,10435194
5/18/2006,9.4336,9.5091,9.2326,9.2396,5805650
5/19/2006,9.2966,9.327,8.98,9.2154,11341153
5/22/2006,9.1614,9.2904,9.0966,9.2386,8560119
5/23/2006,9.3198,9.5606,9.3036,9.3539,8931305
5/24/2006,9.398,9.5496,9.255,9.4951,9506620
5/25/2006,9.441,9.5386,9.2724,9.5384,8154050
5/26/2006,9.5773,9.6104,9.4647,9.4976,3647120
5/30/2006,9.4211,9.4888,9.251,9.2632,4288078
5/31/2006,9.3096,9.4203,9.1347,9.2602,7940870
6/1/2006,9.3031,9.5384,9.2547,9.5292,6248058
6/2/2006,9.6343,9.6403,9.4004,9.45,6355829
6/5/2006,9.3688,9.5001,9.3183,9.3255,5531283
6/6/2006,9.379,9.713,9.3719,9.7128,10205330
6/7/2006,9.7937,9.8341,9.6259,9.6261,8868418
6/8/2006,9.657,9.8194,9.4288,9.7952,10308718
6/9/2006,9.7676,9.8483,9.5972,9.6276,6124705
6/12/2006,9.6717,9.7252,9.4889,9.5023,4993457
